time,servo_deg,door_deg,torque,speed,direction,calibrated,detecting
1783691023.6576972,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691023.7075262,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691023.7575285,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691023.8076017,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691023.8577015,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691023.9076595,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691023.9576595,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691024.0076528,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691024.0576196,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691024.1075573,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691024.1574144,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691024.2076619,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691024.2574067,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691024.3080094,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691024.3575675,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691024.4076424,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691024.4577744,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691024.5075667,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691024.557483,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691024.6075609,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691024.6576064,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691024.707543,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691024.7574358,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691024.8074763,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691024.857463,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691024.9076118,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691024.9574752,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691025.0076106,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691025.0574324,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691025.1075728,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691025.157621,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691025.2075431,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691025.2576141,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691025.3075368,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691025.3576498,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691025.4081538,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691025.4575143,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691025.5075538,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691025.5576608,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691025.6075752,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691025.6576467,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691025.7074828,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691025.7575138,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691025.8076165,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691025.8575988,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691025.9074821,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691025.9576058,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691026.0076091,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691026.0578852,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691026.1074722,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691026.1575725,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691026.2076437,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691026.257889,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691026.3074155,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691026.357507,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691026.4076176,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691026.4575849,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691026.5074513,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691026.5576751,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691026.6075957,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691026.6578765,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691026.7075133,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691026.7574685,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691026.8077917,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691026.8577685,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691026.908108,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691026.9577622,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691027.0075457,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691027.057969,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691027.1079185,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691027.1574905,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691027.2075753,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691027.257568,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691027.3076067,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691027.357596,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691027.4075665,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691027.4576087,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691027.5075371,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691027.5576499,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691027.6075213,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691027.6574779,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691027.7074566,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691027.7580554,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691027.8075945,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691027.8575418,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691027.9074817,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691027.957479,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691028.0075681,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691028.05757,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691028.107784,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691028.1577277,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691028.2076626,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691028.2577782,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691028.3075132,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691028.3576584,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691028.4075463,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691028.4576662,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691028.507539,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691028.5575752,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691028.607856,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691028.6575553,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691028.7077065,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691028.7574856,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691028.8076565,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691028.8576486,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691028.907602,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691028.957596,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691029.0076258,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691029.0576007,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691029.1087914,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691029.15757,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691029.2075267,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691029.257638,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691029.3074713,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691029.3576407,0.0,0.0,71.15951506672728,40.0,0,0,0
1783691029.4075022,0.0,0.0,71.15951506672728,40.0,0,0,0
